protocol,network,contract_address,contract_name,type,signature
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,owner()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,pause()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,paused()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,removeBlacklistManager(address _blacklistManager)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,renounceOwnership()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,symbol()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,totalSupply()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,"transfer(address recipient, uint256 amount)"
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,"transferFrom(address sender, address recipient, uint256 amount)"
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,transferOwnership(address newOwner)
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,unpause()
Bitmex,nan,0xb113c6cf239f60d380359b762e95c13817275277,,function,whitelist(address _wallet)
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,event,"Approval(address owner, address spender, uint256 value)"
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,event,Deny(address usr)
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,event,"File(bytes32 what, string data)"
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,event,Rely(address usr)
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,event,"Transfer(address from, address to, uint256 value)"
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,DOMAIN_SEPARATOR()
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,PERMIT_TYPEHASH()
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,"allowance(address , address )"
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,"approve(address spender, uint256 value)"
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,balanceOf(address )
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,"burn(address from, uint256 value)"
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,decimals()
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,deny(address usr)
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,deploymentChainId()
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,"file(bytes32 what, string data)"
SparkLend,nan,0xc20059e0317de91738d13af027dfc4a50781b066,,function,"mint(address to, uint256 value)"
